species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Sminthurinus signatus,Sminthurinus,Katiannidae,2584529,species,unknown,unknown,,,4.8,4.8,"there is no specific mention of the body length of *Sminthurinus signatus*. However, related species such as *Ochterus signatus* have a body length of 4.80 mm . Since *Sminthurinus signatus* is not directly described in the given texts, its body length cannot be determined from the available information.",03C287CFFFB7C812FC14FD3FFD97FC09(plazi),leaf_litter,"there is no specific mention of the habitat of *Sminthurinus signatus*. However, document discusses the habitat preferences of Symphypleona, which include leaf litter, suggesting that species within this group, including *Sminthurinus signatus*, might inhabit such environments. No further details about the exact habitat of *Sminthurinus signatus* are available in the provided texts.",31716593(medline)
Sminthurinus trinotatus,Sminthurinus,Katiannidae,1496266,species,unknown,unknown,,,,,there is no specific mention of the body length of *Sminthurinus trinotatus*. The text discusses taxonomic descriptions and differences between genera but does not provide morphometric data such as body length .,27395090(medline),grassland,"*Sminthurinus trinotatus* has been recorded from different habitats. It was collected in Chunri Township, Pingtung County, which suggests it may inhabit grassland areas . Additionally, related species such as *Sminthurinus elegans* and *Sminthurinus niger* have been found in dry grasslands in Austria, indicating that *Sminthurinus trinotatus* might also prefer similar environments . However,…",PMC9836723(pmc)|PMC6163862(pmc)
Sminthurus nigromaculatus,Sminthurus,Sminthuridae,109608,genus,unknown,unknown,,,,,"Sminthurus nigromaculatus is mentioned as one of the dominant Collembola species, but no specific body length is given for this species in the text . Therefore, the body length of Sminthurus nigromaculatus cannot be determined from the provided sources.",PMC4494283(pmc),grassland|soil,"*Sminthurus nigromaculatus* is found in soil of meadows , and it can inhabit grasslands . It is also associated with areas affected by ecological flooding, indicating adaptability to wetter conditions . Additionally, this species demonstrates resilience to flooding, as its eggs can survive submerged periods and hatch once the water recedes .",PMC5769716(pmc)|10.11646/zootaxa.5275.1.1(pmc)|PMC3131029(pmc)|PMC4494283(pmc)
Sminthurus viridis,Sminthurus,Sminthuridae,109609,species,unknown,unknown,"Sminthurus viridis feeds on alfalfa plants, where it can act as a pest . There is no specific mention of its diet beyond this context.",721B6E0C8C29FF96FF3824B5A95E20C1(plazi),,,"the body length of *Sminthurus viridis* is not explicitly mentioned. However, it can be inferred that *Janusius geumgangensis*, which is nearly identical to *Sminthurus viridis* except for an additional chaeta on certain legs, may have a similar size, though this is not confirmed in the text . Therefore, the exact body length of *Sminthurus viridis* cannot be determined from the given sources.",03B687E7FF9CD416FF0FFC471122FD1E(plazi),soil|agricultural,*Sminthurus viridis* inhabits the soil of alfalfa and wheat crops in Iran . This species is also noted to have a cosmopolitan distribution .,721B6E0C8C29FF96FF3824B5A95E20C1(plazi)
Sphaeridia pumilis,Sphaeridia,Sminthurididae,212016,species,unknown,unknown,,,,,,,soil|forest_wood,"*Sphaeridia pumilis* is mentioned as a subdominant species in contaminated woodlands, indicating that it inhabits such environments. It is part of the Collembola community in these areas, which suggests it thrives in soil conditions typical of woodland settings affected by contamination .",30743842(medline)
Stenacidia violacea,Stenacidia,Sminthurididae,2041968,species,unknown,unknown,,,,,,,cave|forest_wood|agricultural,"*Stenacidia violacea* is associated with rabbit carcasses decomposing in Mount Kapur Cave and its surrounding primary forest in Kuching, Sarawak, where it serves as a necrophagous fly . There is no specific mention of its habitat beyond this context.",33612803(medline)
Stenaphorura denisi,Stenaphorura,Tullbergiidae,2041970,species,unknown,unknown,,,,,,,leaf_litter|soil,"Stenaphorura denisi is noted to inhabit soil and leaf litter under pine trees in Iran . Additionally, it has a holarctic distribution . However, there is no direct mention of ""Stenaphorura denisi"" in the sources; instead, references are made to ""Willemia denisi"" and ""Metaphorura denisi,"" which may be synonyms or closely related taxa. Therefore, the habitat details provided apply to these similar…",721B6E0C8C1FFFA0FF3823C5A9412231(plazi)
Stenaphorura quadrispina,Stenaphorura,Tullbergiidae,3158778,species,unknown,unknown,,,,,,,,"there is no specific information about the habitat of *Stenaphorura quadrispina*. The mentioned species names with ""quadrispina"" belong to different genera and have varying habitats, but none pertain to *Stenaphorura quadrispina* .",03AB87FAFF87FFF2FF7BFC35FC91FEE6(plazi)|C5657B52FF0EB38144D1FD35CB550E82(plazi)|03AB87DFFFD2FFF7FF7700A22E736ADD(plazi)|96CA95AF43CA40E346830566209C607F(plazi)|03DE879D2E7AFF8FFF70FCD251C29B83(plazi)
Subisotoma pusilla,Subisotoma,Isotomidae,370033,genus,unknown,unknown,,,,,,,grassland|forest_wood|sandy_dune,"Subisotoma pusilla is not directly mentioned. However, related species like Ochotona pusilla (steppe pika) inhabit dry, grassland environments . Similarly, the semipalmated sandpiper (Calidris pusilla) breeds in the Central Canadian Arctic . For other species with ""pusilla"" in their name, such as Abraxas antipusilla, they are found in the Eastern Himalaya, India , and the Hainan pangolin (Manis…",20020277(medline)|37361900(medline)|37044655(medline)|42205513(medline)
Superodontella alpina,Superodontella,Odontellidae,187701,species,unknown,unknown,,,,,,,soil|forest_wood,"there is no direct mention of ""Superodontella alpina."" However, ""Rhaponticoides alpina"" is noted to have a habitat in Baldo, which may be a region or specific location. The document does not provide detailed ecological information about its habitat . Additionally, other related genera like ""Odontella"" and ""Superodontella lamellifera"" are associated with different habitats such as soil in forests…",03EA87B2FFA8FFFDFF26F891FB529D9D(plazi)|721B6E0C8C0CFFB3FF38221CA9FA223F(plazi)|03896378FE9DFEABFF19971FC1EBFC3A(plazi)
Superodontella gisini,Superodontella,Odontellidae,187702,species,unknown,unknown,,,,,,,,"there is no specific information about the habitat of *Superodontella gisini*. The document mentions *Superodontella eleonorae* as being found in Sicily, but does not provide details about *S. gisini* .",37044746(medline)
Supraphorura furcifera,Supraphorura,Onychiuridae,2041972,species,unknown,unknown,,,,,,,,"Supraphorura furcifera (likely referring to Sogatella furcifera) prefers habitats such as abandoned rice paddies with dense Poaceae grasses for overwintering . These areas provide suitable conditions for survival during colder months. However, specific details about its broader habitat preferences beyond overwintering sites are not extensively detailed in the given sources.",22958347(medline)
Tetracanthella brachyura,Tetracanthella,Isotomidae,6752,species,unknown,unknown,,,,,,,,"there is no specific information about the habitat of *Tetracanthella brachyura*. The sources discuss various crab species but do not mention *Tetracanthella brachyura* or its habitat preferences. Therefore, it is not possible to determine the habitat of this species from the given data.",16705438(medline)
Tetracanthella fjellbergi,Tetracanthella,Isotomidae,79733,genus,unknown,unknown,,,,,,,leaf_litter|forest_wood,"Tetracanthella fjellbergi is not explicitly mentioned. However, it can be inferred that it may inhabit similar environments to other related species such as Entomobrya fjellbergi, which is found in the litter of montane deciduous forests in the East Caucasus . For precise details about Tetracanthella fjellbergi's habitat, additional research would be required.",027087B5A8537858CCE7FFE1FC20FDCF(plazi)
Tetracanthella strenzkei,Tetracanthella,Isotomidae,79733,genus,unknown,unknown,,,,,,,alpine_glacier,"Tetracanthella strenzkei is found in glacier forelands in the Alps , and it is also mentioned in the context of Arctic tundra habitats . These findings suggest that Tetracanthella strenzkei inhabits cold environments such as alpine and polar regions.",PMC7564799(pmc)|PMC8301111(pmc)
Tetracanthella wahlgreni,Tetracanthella,Isotomidae,873036,species,unknown,unknown,,,,,,,alpine_glacier,"Tetracanthella wahlgreni is found in young glacier forelands in the Alps , and it is also noted to inhabit areas where there is a risk of inoculative freezing due to its association with ice . This suggests that Tetracanthella wahlgreni inhabits cold, moist environments such as glacial forelands and possibly other alpine regions with similar conditions.",PMC7564799(pmc)|PMC7033094(pmc)
Tetrodontophora bielanensis,Tetrodontophora,Onychiuridae,48717,species,unknown,unknown,,,,,,,,,
Thalassaphorura encarpata,Thalassaphorura,Onychiuridae,2583954,species,unknown,unknown,,,,,,,leaf_litter|soil,"Thalassaphorura encarpata is found in soil and leaf litter under trees, including those of white poplar, walnut, oak, date palm (Phoenix dactylifera), and fig in Iran . The species is also reported from Puerto Rico, specifically in Luquillo, indicating a cosmopolitan distribution .",10.11646/zootaxa.5275.1.1(pmc)|PMC7365838(pmc)
Thaumanura carolii,Thaumanura,Neanuridae,187703,species,unknown,unknown,,,,,,,forest_wood,"Thaumanura carolii is associated with decaying wood and tree bark habitats, specifically inhabiting abandoned arboreal nests of termites, particularly Nasutitermes species . This suggests that its habitat includes environments rich in organic matter and moisture, typical of termite nest structures .",PMC7819146(pmc)
Tomocerina minuta,Tomocerina,Tomoceridae,574226,genus,unknown,unknown,,,,,,,leaf_litter|soil,Tomocerina minuta is found in soil and leaf litter in Iran . It is also associated with shrub-prefering habitats and is classified as an opportunistic species that prefers peripheral environments . The exact substratum preferences of this species could not be resolved due to low individual counts .,10.11646/zootaxa.5275.1.1(pmc)|PMC6305484(pmc)
Tomocerus baudoti,Tomocerus,Tomoceridae,1116929,species,unknown,unknown,,,,,,,leaf_litter|moss_lichen|soil|forest_wood,"there is no specific information about the habitat of *Tomocerus baudoti*. The available data describe habitats for other *Tomocerus* species such as soil and leaf litter , mixed forests with leaf litter and humus , mosses and lichens on fir trees , and moss vegetation around leaf litter . However, these do not apply to *T. baudoti*.",721B6E0C8C27FF98FF3821CDA86A2439(plazi)|03F087A17A011055FF5CA901FEA9F89A(plazi)|7F4F87E67627FFE4BFFDF9CB8C621966(plazi)|03CA87C3FF93B01AFFC9F9E3FB142C28(plazi)
Tomocerus minor,Tomocerus,Tomoceridae,187706,species,unknown,unknown,,,,,,,leaf_litter|freshwater|soil|forest_wood|grassland,"*Tomocerus minor* is found in various habitats including forested areas, riparian zones near lakes, and soil environments such as pastures and leaf litter. It has been specifically noted in forest belts along riverbanks and in soil and leaf litter in Iran . Additionally, it occurs in riparian habitats and can be found in both forested and pastoral soils .",PMC5769716(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Tomocerus problematicus,Tomocerus,Tomoceridae,1218964,species,unknown,unknown,,,,,,,leaf_litter,"Tomocerus problematicus is found in the Middle East, specifically from the Turkish province Hatay in the north across Lebanon to North Israel in the south. Its habitat includes leaf litter, as most of the examined material was sifted from this environment .",03A187CAFFC1942F1FEAFB55935BFB39(plazi)
Tomocerus vulgaris,Tomocerus,Tomoceridae,1519116,species,unknown,unknown,,,,,,,leaf_litter|forest_wood|grassland|freshwater,Tomocerus vulgaris is found in leaf litter in forest areas and near rivers . It is also present in riparian habitats and can be associated with both woodlands and grasslands .,10.11646/zootaxa.5275.1.1(pmc)|PMC5769716(pmc)
Vertagopus alpinus,Vertagopus,Isotomidae,3127814,species,unknown,unknown,,,,,"there is no specific mention of the body length of *Vertagopus alpinus*. The descriptions focus on morphological features like the length of macrosetae and the structure of claws and hairs, but not on overall body dimensions . Additional studies would be required to determine the body length of this species.",03E38790FFD4930CFF0B3FA2D99F5F50(plazi),moss_lichen|forest_wood,"Vertagopus alpinus is not explicitly mentioned. However, it is noted that Gamasellus alpinus, which may be related, inhabits moss on a rock at an altitude of 2,761 meters in Switzerland . Additionally, other species like Vertagopus nunataki and Vertagopus persicus are associated with habitats such as moss in forests and under bark or lichen . These suggest that similar environments might be…",03E38790FFD4930CFF0B3FA2D99F5F50(plazi)|4F034B6EFFBC357ED934F8A83B70FB95(plazi)|03EF1D76C8419635FF2FE363FDA10E1B(plazi)|721B6E0C8C23FF9CFF3824ADAEE620A7(plazi)
